Year,Pop_G4,Pop_G3,Pop_G2,Pop_G1
2025,9583153.401912,7610134.875444001,10351003.545805,21009295.187726
2026,9545442.808524,7782689.185841,10183799.950299,21420055.828957
2027,9494767.883054,7957405.454188,10012325.403484,21831938.910969
2028,9425790.439175,8126186.056367,9864705.522472,22225415.009556
2029,9346507.034454,8297426.894715,9718208.406038,22603753.757613
2030,9242995.680075,8485078.26018,9591834.051541,22945065.11784
2031,9158787.254559001,8634044.388994,9482453.590154,23260039.991043
2032,9079494.597411,8754974.738004,9405206.048922,23539754.60583
2033,9000608.111859,8849126.122752,9359321.297151,23786693.438104
2034,8935209.20616,8912623.532336,9340776.470114,23997243.833461
2035,8890272.33706,8924532.735666,9349048.310166,24185724.426983
2036,8839363.086073,8916243.559816,9384770.618842,24349779.824647
2037,8795571.453573,8891012.938494,9436620.818948,24492162.912673
2038,8765441.363634,8852480.391711,9502002.279266,24620849.926792
2039,8757119.888666,8779472.924137,9586669.145895,24742180.25027
2040,8772276.743564,8679284.385398,9682290.365451999,24854205.039571002
2041,8801325.923281,8563151.100252,9785446.222371,24947921.193948
2042,8846903.941708,8423776.734411,9898573.074839,25038534.714549
2043,8895583.079241,8280618.075869,10005936.014564,25127608.686194
2044,8946264.056935,8120992.675675,10136498.87237,25197575.399735
2045,8995129.124062,7989148.708668,10250709.195645,25250379.484341
2046,9040651.473663,7870522.938373,10353913.017793,25294775.414343998
2047,9081530.354263,7760375.766202,10445813.004305,25339345.393354
2048,9116703.569782,7670640.653685,10511387.222784,25384804.368997
2049,9145386.191085,7607888.868695,10551851.661981,25422406.526496
2050,9167019.51203,7545578.193976,10580604.607159,25470515.612645
2051,9181217.241098,7493255.236236,10589467.673596,25527654.272812
2052,9187779.176884,7454109.581081,10584265.740171,25582987.780577
2053,9186683.548824,7436553.599359,10557264.795448,25635194.885887
2054,9178097.74511,7443172.052788001,10494015.380111,25699029.999136
2055,9162363.747166,7465837.296055,10412160.498655,25765772.631647
2056,9140052.401454,7508360.084881,10310335.727397,25831781.289409
2057,9111942.087885,7558912.11398,10196792.104934,25901867.582625
2058,9078956.805209,7616695.897956,10078756.193538,25968366.179428
2059,9043674.620288,7676881.346137,9947016.145294,26046468.094026
2060,9007189.815035,7738272.982478,9842272.920824,26096828.10599
2061,8970676.835928,7799651.237915,9750445.401273,26134671.560061
2062,8935302.83255,7859785.879881,9666932.903653,26167304.015501
2063,8902216.23759,7917464.181993,9603259.630149,26182990.875833
2064,8872509.801157,7971502.363268,9565808.635019,26175800.097572
2065,8847203.570821,8020706.668408,9529060.22499,26171412.926291
